Turkish,English
boşalttı,emptied
şartların,your conditions
mevsimde,in season
mazeretim,my excuse
meleğe,to the angel
politikasını,policy
omzundan,from your shoulder
davranışım,my behavior
durdunuz,you stopped
göndermemiz,our sending
açılışını,inauguration
cesetlerle,with corpses
üçten,from three
dopamin,dopamine
küçükmüş,he was small
wordy,wordy
savaşların,of wars
saatle,by the clock
harcayacağım,I will spend
tekrarlanan,repeated
vergiden,from tax
çözen,solving
çıkarılmasını,removal
yakalayamaz,can't catch
mycroft,mycroft
saniyesi,second
otobüsüne,to your bus
etmemeni,not to
sanattır,is art
kulesinde,in the tower
sevinçle,joyfully
yıkayın,wash
İlkokulu,primary school
hakikati,truth
thane,Thane
dememe,don't say
davamıza,to our cause
uçağımı,my plane
uyarmadı,did not warn
ezberledim,I memorized
yaşamadı,did not live
anlayamayacak,won't understand
törenden,from the ceremony
arnavutluk,Albania
yahnisi,stew
savunmamız,our defense
odaklanabilir,can focus
yaptıklarıyla,with what they do
kazanacaksınız,you will win
mayfield,mayfield
kullanmamış,did not use
kahvaltısını,his breakfast
hikayeydi,it was a story
haberlerle,with news
listeme,to my list
sevmemiştim,I didn't like
banknotlar,banknotes
yaşadıklarımı,what I experienced
edecektik,we would
gelmeliydim,I should have come
cevapların,your answers
kaybetmedik,we didn't lose
yönetti,directed
avcıların,of hunters
antropoloji,anthropology
söylemeyeceğime,I won't tell
kazanmalıyız,we must win
taşlarını,your pieces
derileri,skins
şİmdİ,Now
lizbon,Lisbon
avukatlara,to lawyers
gücenme,offense
ayrılıkçı,separatist
hastalıktır,is a disease
lokantasında,in the restaurant
zekiler,smart people
kokudan,from the smell
cesaretine,to your courage
becerebilir,can manage
şapkaya,to the hat
masumlar,innocents
başarısızlıkla,unsuccessfully
anlasana,understand
tanımadığımız,that we do not know
uygundu,it was suitable
oyunlarda,in games
uykunu,your sleep
kırarak,by breaking
tepesini,top of
patlatmaya,to explode
kolaylaştıracak,will make it easier
yazarız,we write
özgürlüğüm,my freedom
beliriyor,appears
marifet,ingenuity
kendinizle,with yourself
yeteneğiniz,your talent
düzeyinde,at the level
gruber,gruber
dorota,dorota
neresine,where to
kilere,to the cellar
direnmek,resist
ısırıp,bite
dersime,to my lesson
mekanına,to your place
yoksa-,or-
sayıların,of numbers
sürmüyor,it doesn't last
aramadınız,you didn't call
gümrükten,from customs
senesinde,in the year
davranmamız,to behave
tabloya,to the table
kalırken,while staying
tanımlıyor,defines
venus,Venus
doğurmuş,gave birth
gülünecek,funny
simpsons,the simpsons
chapel,chapel
intikal,succession
yolumuzun,our way
bağıyla,with the bond
katalog,catalog
kasesi,bowl
ulak,messenger
göründüğünün,what it looks like
pantolonumun,my pants
ahlâk,morality
davranmasına,to behave
kapılı,gated
nefessiz,out of breath
takmayın,don't mind
kouhei,kouhei
gezginler,travelers
tag,tag
görmemiştir,didn't see
kurtarmaz,does not save
ermez,does not reach
popon,your butt
umursamadım,I didn't care
pahalıydı,it was expensive
yitip,lost
prensibi,principle
koordinatlara,to coordinates
babamsın,you are my father
çizen,drawn by
evrimi,evolution
arkandayız,we are behind you
düşürülmüş,dropped
bulundurursak,if we keep
duyarsınız,you hear
hücrelerinin,your cells
çöldeki,in the desert
anlatmadan,without telling
athos,athos
otelleri,hotels
kuleler,towers
dinlemesi,to listen
katılmaz,does not participate
komün,commune
uzundur,is long
kasede,in the bowl
görevimin,my duty
tavandan,from the ceiling
matematiğin,of mathematics
krallığını,your kingdom
kilisesinde,in his church
shel,shel
çalarız,we steal
ap,app
nakline,to transport
drone,drone
hissediyordur,he feels
rei,chief
verimsiz,inefficient
demeç,statement
rollo,rollo
reece,reece
depodaki,in warehouse
matematikten,from mathematics
departmanının,of the department
devereaux,devereaux
papyon,bow tie
şelalesi,waterfall
yavas,slow
yanacaksın,you will burn
madenciler,miners
bayılacağım,I will faint
mukayese,comparison
yaparmış,used to do
eğitimsiz,uneducated
taraftar,supporter
kaçınız,how many of you
kaiser,kaiser
vücutlarını,their bodies
yapıda,in structure
takılırım,i hang out
işın,ray
rengarenk,colorful
büyümesine,to grow
fiyatın,your price
sürtünme,friction
fedakarlıklar,sacrifices
duşu,shower
birliklerin,of troops
azaltıyor,is decreasing
uçuşuyor,flying around
taktığım,I wear
bizimlesin,you are with us
amaçlarına,to their goals
tırmandı,climbed
alırdık,we would buy
strong,strong
yönündeki,in the direction
denizanası,jellyfish
çalarlar,they steal
whittaker,Whittaker
yalnış,wrong
dikte,dictation
ekersen,if you sow
kölelerin,your slaves
araçlarını,tools
kırpma,clipping
mags,mags
aldin,you got it
almasının,to receive
toplarız,we collect
ablana,to your sister
kaybetmen,you lose
yaptırdık,we had it done
haziranda,in June
zayıflamış,weakened
zorda,in trouble
çalamaz,can't play
yaşamışlar,they lived
mutludur,is happy
delirdiğini,that you went crazy
habire,all the time
ehh,ehh
rowe,rowe
ekibime,to my team
yürüttüm,I carried out
nã,so
çikti,output
vericiyi,transmitter
mikael,mikael
süslenmiş,decorated
tutkunu,enthusiast
mead,mead
sorulması,asking
baksınlar,let them look
sersemin,stupid
yapraklı,leafy
gal,gal
syracuse,syracuse
taiga,taiga
saroyan,saroyan
solucanı,worm
çalışmalarımı,my works
canli,live
arabuluculuk,mediation
doluyken,when full
ilişkilerinin,their relationships
alışmam,I don't get used to it
hisseler,shares
yapamazdın,you couldn't
dönümümüz,our milestone
jar,jar
kazanmana,to win
karmaşaya,to chaos
burnumuzun,our nose
tatları,tastes
aklamak,to justify
görüşmelerini,their conversations
eniştem,my uncle
süperstar,superstar
çıldıracak,will go crazy
canlanın,revive
tutmama,not keeping
frekansları,frequencies
tanışmıştın,you met
yaptırdığı,had it built
bağlamda,in context
eskidi,got old
programlama,programming
çiftsiniz,you are a couple
gençtik,we were young
shauna,shauna
acım,my pain
limanına,to the port
ameliyatına,to his surgery
civarlarda,around
bakacaktır,will look
eyle,do it
vericem,I will give
rowena,rowena
cabal,cabal
hatalarından,from your mistakes
sorry,sorry
parana,for your money
olmuşlardır,they have been
çöken,collapsing
kurşundan,of lead
maskara,mascara
şişkin,bulging
nasıl-,How-
toplanalım,let's gather
e.t.,meat.
portakallı,orange
düşünmelisiniz,you should think
ödememiz,our payment
suçlamayın,don't blame
yiyebilirsiniz,you can eat
mevsiminde,in season
kaçırırsın,you miss
dönüştürme,conversion
gardiyanların,your guards
bipolar,bipolar
ünitesine,to the unit
hakladı,got it
dao,dao
namus,honor
yanlışları,mistakes
bedenimin,of my body
randevusuna,to his appointment
seviyedeki,at the level
dozunu,dose
sarılmaya,to hug
gerİlİm,income
zhong,zhong
edildiğinden,since it is done
pisliğim,my dirt
bütçesi,budget
mcclaren,mcclaren
tarafınızdan,by you
karşılaştığın,you encountered
itibarımı,my reputation
bağlılığını,your devotion
ahmakça,idiotic
çıkarmasına,to remove
dinlerler,they listen
göğsümü,my chest
hakarete,insulted
kalçalarını,your hips
terkettin,you left
ayrılacaksın,you will leave
marquis,marquis
tecavüzü,rape
vurmasını,to hit
imzalayacak,will sign
dingil,axle
bakamazsın,you can't look
çocugu,child
radarda,on the radar
arınmış,free
durağımız,our stop
usa,usa
platt,platt
durdurması,to stop
shio,shio
kuşunu,your bird
alacağınız,you will receive
kursun,lead
ötekini,the other
gülle,cannonball
jellicle,gellicle
rosenberg,rosenberg
karşınızdayız,we are here
ilgilenmedi,not interested
yenilebilir,edible
story,story
errol,errol
mankenler,mannequins
yazmıştın,you wrote
topraklarımızı,our lands
anıydı,it was a memory
gerilmiş,stretched
mcpherson,mcpherson
birleşince,when combined
yaktık,we burned
çırp,clap
bakmasına,to look at
uçuruyor,flying
inmeden,without stroke
kabartma,relief
pazarına,to the market
müşterilerimin,my customers
olmazsınız,you won't be
yazıyorsunuz,you are writing
teras,terrace
tanıştığınızı,you met
katz,katz
mühürlendi,sealed
saptamak,determine
kaldırdılar,they removed
yükümlü,liable
giyiniyorsun,you are dressing
yolladığım,I sent
dayanabilecek,able to withstand
engelliyorsun,you are blocking
konuşmayan,not speaking
dostumuzu,our friend
düşünceni,your thought
ateşliydi,it was hot
bakarsam,if i look
arayabilirdin,you could have called
çıktığınızı,that you are dating
talip,suitor
stockton,stockton
vermesin,don't give it
mansfield,Mansfield
dostlarından,from your friends
çağırdığında,when you call
starr,starr
konuşmamızda,in our conversation
yaygındır,is common
duvarının,of the wall
yatıştırmak,soothe
çıkartmayı,take out
cannes,cannes
yapmadıysa,if he didn't
bilemeyeceksin,you won't know
güvenecek,will trust
tanımlar,definitions
endişelenmezdim,I wouldn't worry
çalınca,when it rings
icadı,invention
yetkisiz,unauthorized
kızcağız,girl
kadrolu,regular
memleketim,my hometown
etmese,if not
duygudur,is the feeling
hokkabazlık,juggling
getirsinler,let them bring
masamı,my table
adamak,dedicate
yüksekliğinde,in height
uşağın,your servant
gezinip,wandering around
rubin,rubin
gözetliyorsun,you are spying
şirketlerinden,from companies
aleyhime,against me
oooh,oooh
kağıdına,on paper
baharı,spring
dönüştürür,converts
küllerinden,from the ashes
yazdılar,they wrote
yetmiyormuş,it wasn't enough
kaçırırsan,if you miss
mcallister,mcallister
penisinin,your penis
uyanıkken,while awake
çekilmiştir,has been withdrawn
öperim,I kiss
inmeliyiz,we have to get off
tesir,effect
yürümekten,from walking
götürecektim,I was going to take
efekt,effect
İzleri,scars
katara,katara
bulmalarını,to find
eleştirmenler,critics
görmeyeceğiz,we will not see
durduruyor,is stopping
geceni,your night
gösterdikleri,they show
alışma,habituation
tapan,worshiper
ortalamanın,above average
açıklarında,off the coast
çaren,your solution
zorlayamam,I can't force
yastığın,your pillow
ramazan,Ramadan
ucla,end
odaklandım,I focused
hercules,hercules
atının,your horse
hakarettir,it is an insult
yarayacağına,it will work
emredersin,you order
döndürücü,freezer
dizel,diesel
olunacağını,will be
levye,crowbar
depremler,earthquakes
yememiş,didn't eat
tamamlanmadı,not completed
gençliğinde,in his youth
tanımına,to the definition
yürüyorlar,they are walking
dağcı,climber
istemediklerini,that they don't want
bağlanır,connects
kesindi,it was certain
kaptırmış,caught up
göstermeyeceğim,I will not show
tavırların,your attitude
geçmişinin,of your past
çıkacağına,will come out
fall,fall
should,should
gidişi,going
hakkımızı,our right
anladığından,because you understand
etmediysen,if you didn't
kısrak,mare
değerindeki,worth
fausto,fausto
konuşmasından,from his speech
severdik,we loved
İsviçreli,Swiss
görmediğine,that you don't see
sesime,to my voice
kurtulmalısın,you should get rid of
reddettiği,rejected
keşfetmiş,discovered
tatildeyim,I'm on holiday
tesisinde,at the facility
bildirim,notification
tanışmışlar,they met
yükselmesi,rise
düşmüyor,not falling
izlemenin,of watching
titreşimler,vibrations
sürüler,herds
kaçırmışlar,they missed
yaptırıyorsun,you are getting it done
ordaydı,was there
alamazsak,if we can't get it
dükkanım,my shop
sorabiliriz,we can ask
öğrenemeyeceğiz,we won't learn
deepak,Deepak
testereyle,sawing
sundance,sundance
getirilecek,will be brought
varlığımızı,our existence
vaktiyle,erstwhile
titanic,titanic
körler,the blind
dokuyu,texture
umudumuzu,our hope
başkanları,presidents
pozisyonunuzu,your position
yeteneklidir,is talented
dunder,dunder
ayrıntısına,to detail
bilmezsiniz,you don't know
nehrine,to the river
nedenlerini,reasons
sarge,Sarge
kısımlar,parts
gerzekler,idiots
köpüğü,foam
doğurganlık,fertility
inanmıyoruz,we don't believe
içmişti,had drank
polk,Polk
anlamayacaksın,you won't understand
müteşekkiriz,we are grateful
hoşlanmadığım,I don't like
bizsiz,without us
spielberg,spielberg
götürdünüz,you took
boşanmaya,to divorce
espheni,espheni
parkman,parkman
davranamam,I can't behave
kemiklerim,my bones
acımadı,it didn't hurt
uyuyabildin,you were able to sleep
hayvansın,you are an animal
kutum,my box
olacaklara,to what will happen
atarsanız,if you throw
düzenleyeceğim,I will edit
götürüyordum,I was taking
elmaları,apples
atlılar,horsemen
bıktı,fed up
hedefle,target
binalara,to buildings
seçik,distinct
bildirisi,declaration
lunapark,theme park
sorumluluklar,responsibilities
chao,chao
zengini,rich
indirdin,you downloaded
basılı,printed
hızından,from the speed
çıkanları,the ones that came out
astor,astor
düşmanlarım,my enemies
kinci,vengeful
özelliklerinden,from its features
brice,brice
memurların,your civil servants
düzeleceksin,you will be okay
mmm-hmm,mmm-hmm
fedakarlığı,sacrifice
dinlerdim,I would listen
kovayı,bucket
chas,chas
serdi,laid out
evlenmeyecek,will not marry
kıyafete,to the outfit
filmlerine,to your movies
seyircinin,of the audience
belirtilerini,symptoms
aigoo,aigoo
oduncu,woodcutter
devekuşu,ostrich
carnegie,carnegie
savaşırım,I fight
kırmıştı,had broken
molekül,molecule
pişiriyorum,I am cooking
geçmiyorsun,you don't pass
araştırmasına,to his research
koruyabilecek,able to protect
ağlamayacağım,I won't cry
oynarlar,they play
mensup,belonging to
sayılacak,will be counted
korkulan,feared
güzelini,the beautiful one
yapmayacaklar,they won't
bağırırım,I shout
hükmetmek,to rule
ayağınızı,your foot
babs,babs
ayırıyorum,I separate
gin,gin
köyünden,from the village
duramadım,I couldn't stop
konuşamadım,I couldn't speak
bobbie,Bobbie
dirty,dirty
denizinde,in the sea
nöroloji,neurology
adresiniz,your address
ordaydım,I was there
latif,subtle
ekliyorum,I add
çalışmamızı,our work
üyemiz,our member
kurtardıktan,after saving
tesbit,determination
vururdum,I would hit
vermekti,was to give
İşsizlik,Unemployment
numaramız,our number
crazy,crazy
öyküler,stories
fıtık,hernia
sagol,Thanks
aramamın,my call
iğneleri,needles
krallığa,to the kingdom
şal,shawl
ustaları,masters
peşinizden,after you
baskılar,prints
sınırlarına,to the borders
atlarını,their horses
cenazesini,his funeral
dalma,plunge
temizleyeceksin,you will clean
conroy,conroy
bataklığın,of the swamp
sınamak,test
elementler,elements
derinlikte,in depth
reade,Reade
göğüslerime,to my breasts
vur-kaç,hit and run
olmamaları,not to be
kızdırmış,angered
çalıyordum,I was playing
oynandığını,is being played
bastığı,pressed
kilitleme,locking
sığınarak,taking shelter
anlatacağımı,I will tell
gere,necessary
bergen,Bergen
güvenlerini,their trust
yakamı,my collar?
amador,amador
kanji,kanji
yanılmıyorum,I'm not wrong
sessizliğini,your silence
yaşlanma,aging
teorisinin,of theory
editörüm,my editor
çekişme,contention
dostumuzun,our friend
muhtesem,wonderful
bölgemde,in my area
varacaksın,you will arrive
yaşananların,of what happened
yazamam,I can't write
tarot,tarot
verdiğime,that I gave
açana,to the one who opens
bağırın,shout out
çekik,slanting
kayınbiraderim,my brother-in-law
renklerin,of colors
yenebilirim,I can beat
oaks,oaks
gizlenen,hiding
otopsiye,to autopsy
stringer,Stringer
çağrıya,to the call
köşelerinde,in the corners
imzalandı,signed
bitirebilirim,I can finish
şekerle,with sugar
verirlerdi,they would give
dedikten,after saying
katla,fold
öğrenmesine,to learn
seyahatine,to your trip
reddedersen,if you refuse
adak,vow
partini,your party
yaraladın,you injured
kıyafetine,to your outfit
dorrit,Dorrit
inanmıyorsanız,if you don't believe
alkolden,from alcohol
veyahut,or
polisiye,detective
seçtiğimiz,we choose
hocan,your teacher
ünvanı,title
eskrim,fencing
yakalamanın,to catch
kamyoncu,trucker
koşullara,conditions
sorumsuzluk,irresponsibility
yaşananlardan,from what happened
arkadas,friend
radarı,radar
kanserinden,from cancer
daireleri,apartments
kıça,stern
akort,tuning
dağıtalım,let's distribute
kurtarırız,we save
adamlarımla,with my men
satışından,from the sale
ayrılmanın,of leaving
İyileşmek,To get better
barışık,at peace
kitaplarım,my books
maliyet,cost
doğmaz,not born
değiştirmemi,should I change it?
uzar,gets longer
başlangıçtır,is the beginning
sıkılmıştım,I was bored
annemlere,to my mothers
zorunluluğu,obligation
denediğin,you tried
lupus,lupus
şekerini,your sugar
sonucudur,is the result
yapmışlardır,they did
dinlediğiniz,what you listen to
oğlunum,I am your son
masallar,fairy tales
açlığı,hunger
cavendish,cavendish
stroh,stroh
benim-,Mine-
yolladığın,you sent
önümü,in front of me
gidicem,I will go
kültürünü,culture
sorumluydu,was responsible
şampiyonlar,champions
genişliği,width
erime,melting
sembolleri,symbols
alıyorlardı,they were taking
inancına,to your belief
asılan,hanged
ateşinde,in the fire
olduä,happened
soydular,they robbed
dikkatsizce,carelessly
darlığı,stenosis
pet,pet
güzellikler,beauties
başaramayacağım,I won't make it
pornografik,pornographic
geçiriyormuş,was having it
gerhardt,gerhardt
hazırlamalıyım,I have to prepare
annesisin,you are his mother
atışa,to the shot
başlangıca,to the beginning
bacaksız,legless
veremedi,couldn't give
tuttuğunuz,you hold
anladıysan,if you understand
kesiştiği,intersect
levine,levine
getirsen,if you bring
savcıyla,with the prosecutor
kalemimi,my pen
cecily,cecily
şipşak,quickie
olmamalıydım,I shouldn't have been
kiraladık,we rented
kullanımını,use
almazsak,if we don't buy
taşlarla,with stones
hazırlıklara,to the preparations
utandın,you are ashamed
paylaştım,I shared
seyretmeyi,to watch
lodge,lodge
cinsiyeti,gender
kartalı,eagle
şafağa,to dawn
yangınla,by fire
kızılcık,cranberry
hızlandırılmış,accelerated
reddeder,rejects
kroşe,crochet
bugs,bugs
damızlık,stud
harikayız,we are great
hobisi,hobby
bekçileri,keepers
eunice,eunice
topladığım,I collected
marine,marinate
band,band
takılıyorduk,we were hanging out
halindeyken,on the go
imparatorun,the emperor
çıkmışım,I'm out
koğuşu,ward
trager,Trager
apar,apar
tartışıyorlar,they are arguing
kesmeliyiz,we must cut
özgürlüğümüzü,our freedom
kaydıyla,provided that
havacı,aviator
isteyebileceği,may want
boykot,boycott
resimle,with picture
bent,I would like a cut of T-bone
ellerimiz,our hands
kurmamız,to establish
yememi,not to eat
sakıncalı,objectionable
makam,rank
eldeki,available
bulunabilirim,I can be found
resminin,of your picture
bulmacanın,of the puzzle
kesinleşti,has been finalized
yerleştirelim,let's place
yumrukları,fists
merhametin,your mercy
günahlarım,my sins
şeklidir,is the shape
hazinesini,his treasure
tapınağına,to the temple
voss,voss
vakaya,to the case
kristy,Kristy
İngilizcesi,English
oturman,sit down
taşıdığım,I carry
bitiremedim,I couldn't finish
yükselişi,rise
götürmesine,to take away
cinayetlere,to murders
inceleyeceğim,I will examine
biçersin,you reap
seyrediyordum,I was watching
birtanem,my love
bahara,to spring
çalışanlarından,from your employees
ikmali,supply
ikiyi,two
vurursa,if it hits
götürmeden,without taking
ferio,ferio
keçiler,goats
sözleriniz,your words
groves,groves
ilgileneceksin,you will take care
finallere,to the finals
cürret,dare
açılmasına,to open
eleştirmeni,critic
piccolo,piccolo
ödemedin,you didn't pay
watt,watt
fransisco,francisco
paylaşmam,I don't share
kazanmaktan,from winning
münzevi,solitary
çekiş,traction
derimi,my skin
sıkıyorsa,if it gets boring
salıncak,swing
evil,evil
neşesi,his joy
takıldığım,I'm stuck
göstermektedir,shows
boğulacak,will drown
konuşulmaz,not spoken
halledilmesi,to be settled
katıldık,we joined
yaklaşabilir,may approach
kazanamam,I can't win
bantla,tape it
ikilem,dilemma
düzenleyecek,will arrange
götlük,asshole
adaletten,from justice
alıncaya,until you get it
patoloji,pathology
kaybetmişler,they lost
üstlenecek,will undertake
sığırları,cattle
mbuyukler,mbuyukler
duyabildiğini,that you can hear
alamayacaksınız,you won't get it
kaldırmaz,does not lift
tanışacağız,we will meet
götürecekti,would take
totem,totem
korumasına,to the protection
açsam,if i open
santo,santo
stilini,your style
kapımda,at my door
inebilir,can land
aramı,between me
gerilme,stress
fransergio,fransergio
çöpçatan,matchmaker
aleminde,in the world
rittenhouse,rittenhouse
claudette,claudette
başaramazsam,if I fail
pezo,peso
başlamadık,we didn't start
birleşiyor,coming together
araştıracak,will investigate
muhabbetini,your conversation
dostluğu,friendship
savaştığını,that you are fighting
çitleri,fences
tabelada,on the sign
beklemenin,of waiting
İçerden,from inside
dunphy,dunphy
tanışmamız,our meeting
ortadaydı,was in the middle
ayarlanabilir,adjustable
nss,nss
doping,doping
mahvettiğin,you ruined
çağının,of the age
mads,mads
kullanmakta,is using
çekimin,your shot
klanının,of your clan
şüphelenmiştim,I suspected
yurduna,to your homeland
büsbütün,downright
apartmana,to the apartment
bilincinde,conscious
sızlıyor,it hurts
seçmenler,voters
girerdim,I would enter
gidebileceğin,where you can go
deterjan,detergent
edemediğin,what you can't
hainleri,traitors
kulesinin,of the tower
gregson,gregson
bebekti,was a baby
dedikodusu,gossip
bırakılmasını,to be let go
ücretim,my fee
yediklerini,what they eat
nişanlısını,his fiancée
ateşlenmiş,feverish
satmadım,I didn't sell
celal,jalal
listeleri,lists
istiyormuşsun,you want
duyuyormusun,do you hear
hayallerine,to your dreams
sakinleşmen,calm down
seçeneklerini,options
popoma,my butt
kanıtlaman,prove it
hayalimde,in my dreams
devamında,in continuation
sho,sho
çıktıklarını,that they were dating
duyabilirsiniz,you can hear
görmemezlikten,ignoring
getirilmesini,to be brought
almıyordu,wasn't taking
affetmeye,to forgive
belçikalı,Belgian
hayvanla,with animal
deler,pierces
oldugum,i am
atropin,atropine
prusya,Prussian
söğüt,willow
kalınlığında,thick
kilitlemek,to lock
onüç,thirteen
bilinmesini,to be known
z.,z.
kama,wedge
aradıktan,after calling
metreyi,meter
sanatının,of your art
balinaları,whales
yaptırmam,I don't do it
elemanla,with staff
yaptırmıştım,I had it done.
duygulu,soulful
tutuklamayı,to arrest
okunur,is read
yakıyorlar,they burn
sözleşmeli,contractual
hatırlayamıyor,can't remember
seçmişti,had chosen
partridge,partridge
zorlanmış,forced
öldürmekte,is killing
durmayacağız,we won't stop
onurun,your honor
burnumdan,from my nose
yıkamayı,to wash
balayında,on honeymoon
parıldıyor,sparkles
yüzeyinin,of the surface
çözerim,i solve
yüreğinde,in your heart
krallığının,of your kingdom
kırıklığını,your disappointment
yardımımızı,our help
verilecektir,will be given
kardeşinize,to your brother
broşürü,brochure
gerçekleştiren,performer
kılıca,to the sword
projen,your project
şapkanın,your hat
hatırladığı,he remembers
komşularım,my neighbors
eşitliği,equality
kolunuzu,your arm
sayar,counts
bozulursa,if it breaks
iştahı,appetite
karşılaşmadan,without encountering
tıkandı,clogged
yastığının,your pillow
roper,roper
ölelim,let's die
hane,digit
inanca,to faith
sonuçlarıyla,with consequences
yataklarında,in their beds
istemesinin,of wanting
nirvana,nirvana
gözlüklerin,your glasses
hanımlara,to the ladies
avcılığı,hunting
üşütmüş,got a cold
görülmez,invisible
aoi,aoi
konuşamayacak,won't be able to talk
şiirini,your poem
cephesinde,on the front
tacizde,in harassment
istediklerim,what i want
büyükannesinin,grandmother's
bilmediğine,that you don't know
lafının,your words
krystal,crystal
gut,gout
birliğiyle,with unity
shelton,Shelton
uyacağım,I will comply
ortalıklarda,around
gezegeninde,on the planet
noktam,my point
bakana,to the minister
planladık,we planned
kollayacak,will take care
tramvay,tram
tüccarlar,traders
cesurdu,he was brave
belirtin,specify
bilgisayarının,of your computer
bırakmamızı,us to let go
işmiş,it was work
uzaklaşalım,let's go away
jb,jb
alışman,get used to
duyacağı,will hear
şirketinizin,your company
señor,señor
söylemediğine,that you didn't say
notumu,my note
hazineleri,treasures
kaybetmez,does not lose
çıkıntı,protrusion
babasıydı,was his father
İçer,drinks
internetteki,on the internet
sıçraması,splash
bacaklarından,from your legs
taşınmamı,Should I move?
corleone,corleone
rüzgârın,of the wind
kazağını,your sweater
beğenme,dislike
boynumda,on my neck
öfkelisin,you are angry
giydirip,dress up
planlayan,planning
sanatçıların,artists
alabilirdin,you could have
fuentes,fuentes
kucaklamak,embrace
fırtınaları,storms
edilmeyen,not allowed
ayakkabını,your shoe
vizesi,visa
sand,sand
gözlüğüm,my glasses
kumral,brown-haired
yarasına,to his wound
kaldırılmış,removed
zara,Zara
tabağa,to the plate
carole,Carole
imzan,your signature
beceremez,can't handle
miley,miley
duanı,your prayer
carlyle,Carlyle
kesintileri,blackouts
tıbba,to medicine
winn,win
soğuyacak,it will get cold
projesinde,in the project
kalamıyorum,I can't stay
mademoiselle,mademoiselle
inanırız,we believe
taşıyorsunuz,you are carrying
ortanca,hydrangea
ağrıyordu,it hurt
düzeye,level
ergenliğe,to adolescence
hitomi,hitomi
kızağı,sled
gönderilmesini,to be sent
alaya,to the ridicule
doğuracağım,I will give birth
bireyin,individual
koruyucular,protectors
eczacılık,pharmacy
sardım,I wrapped
açıklanamaz,inexplicable
hapishanesinden,from prison
ailelerimizin,our families
fabrikasının,of the factory
endişelendirmiyor,does not worry
duyarak,by hearing
umursadığı,he cares
start,start
kaltağa,to the bitch
gelsek,if we come
dantel,lace
zıplama,bounce
yapabiliyorlar,they can
abine,your brother
rooney,rooney
damlıyor,it's dripping
varoluş,existence
ifadenin,of expression
yakmayacağım,I won't burn
muhafızların,of the guards
yardımınla,with your help
değişeceğim,I will change
sevmiyorsan,if you don't like
yaşartıcı,exhilarating
güvenmemi,don't trust me
haha,haha
güvenmez,does not trust
çekmene,to pull
nöbetleri,seizures
ettirmiş,had it done
boşluğunu,your emptiness
eskisini,the old one
gitmeyiz,we don't go
kesilip,cut out
siparişiniz,your order
ayaktaydım,I was standing
shang,shang
kırdığım,I broke
dökeceğim,I will spill
bırakmıyorlar,they don't leave
bölümdeki,in the section
rugby,rugby
bannon,Bannon
utanmalısınız,you should be ashamed
psikoz,psychosis
günümdeyim,I'm in my day
güldüler,they laughed
konsept,concept
kasılmalar,contractions
shaz,Shaz
şaşırtacak,will surprise
giymiştim,I wore
başlattık,we started
gibilerden,from like
dışındayız,we are outside
çeçen,chechen
temizleyicisi,cleaner
bildiklerimizi,what we know
aynadan,from the mirror
eksiklik,lack
emi,emi
yıldönümleri,anniversaries
alnının,your forehead
upuzun,long
anlaşılmıştır,It is understood
sayısına,to the number
oluşması,formation
memleketin,your hometown
durumlarını,their situation
bitkiyi,the plant
yükselip,rise up
püskü,tattered
tarıyor,scanning
okulundaki,at school
kuvvetlerin,of forces
hoparlör,speaker
gezmeyi,to travel
niz,your opinion
çekiciydi,was attractive
seyahatler,travels
aralıkta,in December
değişip,change
halsiz,sluggish
ileti,message
şahidimdir,I am a witness
yanındadır,is with you
nothing,nothing
hayda,come on
başarmıştı,had succeeded
panikledi,panicked
hagan,hagan
kurallarının,of your rules
milyarlar,billions
sonuncusuydu,it was the last one
bulunmaktan,from being
damarlar,veins
nola,nola
miktardaki,amount
düşünecektir,will think
hakimiyet,dominance
başımızayız,we are on our own
edemiyordum,I couldn't
görüşürüm,see you
otobüsler,buses
boyadım,I painted
seema,seema
altındaydım,I was under
ilgilenelim,let's take care
yanıtlar,answers
yayılma,spread
ayrılmamış,not reserved
getirmezsen,if you don't bring
bensem,if it's me
brütüs,brutus
borcumuzu,our debt
bannister,bannister
utanmış,ashamed
korse,corset
tutmuyorsun,you don't keep it
sekteye,to a halt
stephens,stephens
çiğnemiş,chewed
İşitme,Hearing
goran,goran
hırpalanmış,battered
başarırsa,if he succeeds
crash,crash
mori,mori
org,organ
İlkbahar,Spring
fifi,fifi
elmasların,of diamonds
düşünmüyorlar,they don't think
kelepçelerini,your handcuffs
adamlarınızın,your men
konfor,comfort
açamaz,can't open
smiley,smiley
yürüdün,you walked
kaçırması,kidnapping
kederi,grief
saraydaki,in the palace
direğine,to the mast
mızmızlanmayı,whining
müşterilerimden,from my customers
söyleyebiliyor,can say
yaralanmadı,not injured
duyacağını,you will hear
baba-oğul,father-son
hizmetkâr,servant
dönmelerini,to return
öperken,while kissing
göte,ass
çıkmaları,to come out
pişireceğim,I will cook
haberle,with the news
ışığından,from the light
sitenin,of the site
melville,melville
e-evet,y-yes
öldürmelerine,to kill
arzuluyor,desires
ilgiliymiş,it was relevant
kaybetmesini,to lose
crassus,Crassus
şöför,chauffeur
geçirmemi,not to pass
görebilseydi,if he could see
olabilsem,if i could be
kıyısından,from the shore
keçiyi,the goat
habis,malignant
unutmadı,didn't forget
kolumda,on my arm
çaldığınız,you stole
okulumuz,our school
ahmad,ahmad
zorro,zorro
